step,total_cells,empty_sites,occupied_density,committed_cells,committed_density,undetermined_cells,undetermined_density,decommitted_cells,decommitted_density,uncommitted_cells,uncommitted_density,n_clusters_present,largest_cluster,cluster_0_size,cluster_1_size,cluster_2_size,cluster_3_size,cluster_4_size,cluster_5_size,cluster_6_size,cluster_7_size,T1,T2,I,R,M,K,S,seed
0,30,2370,0.0125,0,0.0,30,0.0125,0,0.0,30,0.0125,0,0,0,0,0,0,0,0,0,0,0.7993772961673801,0.4335260147432098,0.5809923421566696,0.6096760420926847,0.5128582380331791,0.3857867142558294,0.3776358555486714,101
1,51,2349,0.02125,0,0.0,51,0.02125,0,0.0,51,0.02125,0,0,0,0,0,0,0,0,0,0,0.5574943378239757,0.2530431842758169,0.3322252561335513,0.3448589642496694,0.2934506620535825,0.2204195498483386,0.2157403123132467,101
2,57,2343,0.02375,0,0.0,57,0.02375,0,0.0,57,0.02375,0,0,0,0,0,0,0,0,0,0,0.6515259740562169,0.2601874062852631,0.2985795726075087,0.307888056477576,0.2642077442985848,0.199341745475052,0.1984893906542356,101
3,60,2340,0.025,21,0.00875,39,0.01625,0,0.0,39,0.01625,6,7,4,7,1,0,3,4,2,0,0.7735937163692764,0.2646602323739001,0.2915028444452214,0.2978599031370325,0.2512815635774115,0.1998173514402184,0.1951393594034649,101
4,60,2340,0.025,21,0.00875,39,0.01625,0,0.0,39,0.01625,6,7,4,7,1,0,3,4,2,0,0.9243361060854725,0.27819420913651,0.3168159440915037,0.3208872969141337,0.2657651182991241,0.2257149851597598,0.2039547923266815,101
5,75,2325,0.03125,34,0.0141666666666666,41,0.0170833333333333,0,0.0,41,0.0170833333333333,6,12,7,12,5,0,3,5,2,0,0.8476583750904306,0.2346998305782872,0.277440148668979,0.2761868180303714,0.2279499191158192,0.2090905406590374,0.1718990254517473,101
6,100,2300,0.0416666666666666,50,0.0208333333333333,50,0.0208333333333333,0,0.0,50,0.0208333333333333,6,17,10,17,9,0,6,6,2,0,0.7422287131533869,0.1992223856403439,0.2300527217342096,0.230586286167792,0.1909233439076302,0.189589980993892,0.1400049709780334,101
7,109,2291,0.0454166666666666,60,0.025,49,0.0204166666666666,0,0.0,49,0.0204166666666666,6,18,13,18,10,0,9,8,2,0,0.8202079408171008,0.2211927954828526,0.2373802741748736,0.24562002071722,0.202361815283025,0.2055005148868222,0.1444588893594127,101
8,112,2288,0.0466666666666666,64,0.0266666666666666,48,0.02,0,0.0,48,0.02,6,19,15,19,10,0,9,9,2,0,0.938127172950236,0.249669761043463,0.2659941611377047,0.2790447571711065,0.2240389137521229,0.229857700199304,0.1576937427296575,101
9,121,2279,0.0504166666666666,84,0.035,37,0.0154166666666666,0,0.0,37,0.0154166666666666,6,26,26,21,13,0,9,11,4,0,0.9904318498230064,0.2576753050676122,0.2756936880941125,0.2959169555262272,0.2325200917130282,0.2477977486114661,0.1622057630927905,101
10,131,2269,0.0545833333333333,101,0.0420833333333333,30,0.0125,0,0.0,30,0.0125,6,35,35,23,14,0,11,14,4,0,1.0315058265654875,0.2694415322279615,0.2922465477261751,0.3124173931777014,0.2459442438606734,0.2626149736699826,0.1671773514155405,101
11,162,2238,0.0675,128,0.0533333333333333,34,0.0141666666666666,0,0.0,34,0.0141666666666666,6,47,47,29,19,0,15,14,4,0,0.9323583783907547,0.2444639299362756,0.2788241301201327,0.2882108955936835,0.2284464113793026,0.2489439031447232,0.1504618384769149,101
12,193,2207,0.0804166666666666,152,0.0633333333333333,41,0.0170833333333333,0,0.0,41,0.0170833333333333,6,57,57,35,21,0,19,16,4,0,0.892591340392652,0.2413204196098911,0.2691371152502398,0.2788195914314652,0.2214777633547864,0.2401299768534165,0.1431588541348905,101
13,217,2183,0.0904166666666666,176,0.0733333333333333,41,0.0170833333333333,0,0.0,41,0.0170833333333333,6,69,69,39,24,0,21,19,4,0,0.9132349223108132,0.2561537183697607,0.2758201195632939,0.2864321639546862,0.2261321977389772,0.2430010638885415,0.1456279472156471,101
14,236,2164,0.0983333333333333,200,0.0833333333333333,36,0.015,0,0.0,36,0.015,7,78,78,42,27,2,22,25,4,0,0.9608871057225628,0.2771136491424333,0.2886783293808577,0.3031185606735945,0.2360254458854918,0.2544351658946687,0.1527838270349513,101
15,250,2150,0.1041666666666666,221,0.0920833333333333,29,0.0120833333333333,0,0.0,29,0.0120833333333333,7,86,86,44,30,2,27,26,6,0,1.026524363810973,0.3010997563114113,0.3074749431983443,0.3287616352124364,0.2530268942598664,0.2745382374933679,0.1633524136938001,101
16,266,2134,0.1108333333333333,249,0.10375,17,0.0070833333333333,0,0.0,17,0.0070833333333333,7,100,100,45,36,2,30,28,8,0,1.0769929737265678,0.3210054329701788,0.3274511709135153,0.3518797807626373,0.2666151046593694,0.2916202360797432,0.1725558297486816,101
17,288,2112,0.12,274,0.1141666666666666,14,0.0058333333333333,0,0.0,14,0.0058333333333333,7,110,110,48,41,2,34,31,8,0,1.0994490155371472,0.3321690994897948,0.3400011462712143,0.3678101556155957,0.2772335234725014,0.3003662987873386,0.177866594978249,101
18,333,2067,0.13875,319,0.1329166666666666,14,0.0058333333333333,0,0.0,14,0.0058333333333333,7,129,129,56,48,2,39,37,8,0,1.0464380259850197,0.3219406323956599,0.3295779807866373,0.3583136319200886,0.2712343538301994,0.2887172053430309,0.171222385537661,101
19,385,2015,0.1604166666666666,366,0.1525,19,0.0079166666666666,0,0.0,19,0.0079166666666666,7,151,151,64,53,4,42,44,8,0,1.0044881991429324,0.3193080715038425,0.3214654951545357,0.3500767680598071,0.2621627255755289,0.2793471323148047,0.1660457690837393,101
20,438,1962,0.1825,417,0.17375,21,0.00875,0,0.0,21,0.00875,7,172,172,75,58,4,51,49,8,0,0.9867441327513058,0.3282197414979026,0.3177797686812386,0.3475984038331778,0.2594046448102979,0.2787438854618506,0.1647865513923783,101
21,473,1927,0.1970833333333333,451,0.1879166666666666,22,0.0091666666666666,0,0.0,22,0.0091666666666666,7,183,183,80,66,4,57,53,8,0,1.02367586686031,0.3579962412229874,0.3304698782953584,0.3633028180168798,0.2679663643559503,0.290636957884171,0.1727960212484934,101
22,496,1904,0.2066666666666666,475,0.1979166666666666,21,0.00875,0,0.0,21,0.00875,7,189,189,82,71,4,63,57,9,0,1.0849280114574305,0.3932399191302941,0.349014978676563,0.3890708534069707,0.2825564211503211,0.3083768858668134,0.1849860076764796,101
23,531,1869,0.22125,518,0.2158333333333333,13,0.0054166666666666,0,0.0,13,0.0054166666666666,7,196,196,86,84,4,72,65,11,0,1.113461756542223,0.4123508472688575,0.3593086371476025,0.4048981685746233,0.2926078497756348,0.3168637386139226,0.1917552595355135,101
24,556,1844,0.2316666666666666,545,0.2270833333333333,11,0.0045833333333333,0,0.0,11,0.0045833333333333,7,204,204,86,87,5,76,73,14,0,1.1610654378256968,0.441903722859329,0.3785860043799231,0.4307610988241935,0.3084797027083586,0.3312648393974747,0.2026564278077868,101
25,602,1798,0.2508333333333333,590,0.2458333333333333,12,0.005,0,0.0,12,0.005,7,217,217,95,95,7,82,78,16,0,1.1609038193017132,0.4526987091674557,0.3857915301486943,0.4396041473365669,0.3119136746672907,0.3345827221712254,0.2056099110739323,101
26,655,1745,0.2729166666666666,645,0.26875,10,0.0041666666666666,0,0.0,10,0.0041666666666666,7,238,238,97,106,8,93,87,16,0,1.1533113591603583,0.46443383301821,0.3898419534611338,0.4446288818547604,0.3151486452584058,0.3357960924929832,0.2075876690555694,101
27,717,1683,0.29875,707,0.2945833333333333,10,0.0041666666666666,0,0.0,10,0.0041666666666666,7,259,259,109,115,8,101,97,18,0,1.1383133878017018,0.4739801179417494,0.3918963069428495,0.4468525168535218,0.3165854127012543,0.3342345034833199,0.2080472817568669,101
28,766,1634,0.3191666666666666,758,0.3158333333333333,8,0.0033333333333333,0,0.0,8,0.0033333333333333,7,278,278,118,128,8,104,104,18,0,1.1515923219595183,0.497612754709936,0.4004034636431216,0.4589854991643881,0.3235231592726008,0.3403719019904789,0.2136982835270848,101
29,821,1579,0.3420833333333333,813,0.33875,8,0.0033333333333333,0,0.0,8,0.0033333333333333,7,296,296,126,141,8,112,112,18,0,1.1569183926296729,0.5152377991437643,0.4048758354614292,0.4677338890843278,0.328010268746378,0.3447105601645843,0.2176015110031484,101
30,871,1529,0.3629166666666666,867,0.36125,4,0.0016666666666666,0,0.0,4,0.0016666666666666,7,312,312,135,152,8,123,119,18,0,1.171056289944559,0.5373653384469883,0.4136197745067627,0.4802117906891377,0.3354303218195023,0.3512963838908056,0.2232640480049451,101
31,911,1489,0.3795833333333333,908,0.3783333333333333,3,0.00125,0,0.0,3,0.00125,7,323,323,143,160,8,134,122,18,0,1.197529673772427,0.5678778142794672,0.4269539535791466,0.49837684837266,0.3461992726494379,0.3623857041271142,0.2318083287963455,101
32,952,1448,0.3966666666666666,951,0.39625,1,0.0004166666666666,0,0.0,1,0.0004166666666666,7,344,344,147,165,8,140,129,18,0,1.2181371512323165,0.596070399083755,0.4391022920996649,0.5148921352727648,0.3556441985731065,0.3709614244493119,0.2396283016169889,101
33,982,1418,0.4091666666666667,981,0.40875,1,0.0004166666666666,0,0.0,1,0.0004166666666666,7,348,348,150,172,8,153,132,18,0,1.248473668334788,0.6320215050254191,0.4545769329413209,0.5358358475328435,0.3671751386851178,0.3828734151053762,0.2500547692141746,101
34,1005,1395,0.41875,1004,0.4183333333333333,1,0.0004166666666666,0,0.0,1,0.0004166666666666,7,354,354,153,178,8,157,134,20,0,1.2818252788412396,0.6676941354641446,0.4724857346157788,0.5595077472733949,0.3803848381635807,0.395849328972347,0.2611466664712947,101
35,1032,1368,0.43,1031,0.4295833333333333,1,0.0004166666666666,0,0.0,1,0.0004166666666666,7,362,362,157,181,8,160,143,20,0,1.3031524487919082,0.6976447146582538,0.4877891263490866,0.5786434932280111,0.3914412266012017,0.405442504515689,0.270242043745205,101
36,1059,1341,0.44125,1057,0.4404166666666667,2,0.0008333333333333,0,0.0,2,0.0008333333333333,7,366,366,162,184,9,168,147,21,0,1.3183471308541828,0.7267274891167019,0.5010330649375693,0.5959242020075367,0.401443439251166,0.4147601351475887,0.2786826889722478,101
37,1083,1317,0.45125,1081,0.4504166666666667,2,0.0008333333333333,0,0.0,2,0.0008333333333333,7,371,371,166,192,9,170,151,22,0,1.3321917453653371,0.75659092324758,0.5142146109071711,0.6132335797693806,0.41109869291888,0.424325977872161,0.2871751595837923,101
38,1115,1285,0.4645833333333333,1113,0.46375,2,0.0008333333333333,0,0.0,2,0.0008333333333333,7,381,381,172,199,9,175,155,22,0,1.3308296112560252,0.7800871505734664,0.5220206988740692,0.6241883601487512,0.4172535976606019,0.4294417752700185,0.2928384789251784,101
39,1135,1265,0.4729166666666666,1133,0.4720833333333333,2,0.0008333333333333,0,0.0,2,0.0008333333333333,7,387,387,173,200,9,177,162,25,0,1.34032242499045,0.8106585511898445,0.5339292307268356,0.640489625230442,0.4259410351823297,0.4385545870967579,0.3009329579387766,101
40,1152,1248,0.48,1150,0.4791666666666667,2,0.0008333333333333,0,0.0,2,0.0008333333333333,7,392,392,176,204,10,178,165,25,0,1.3478224800170462,0.8422636371878701,0.5468500244933179,0.6564188268274154,0.4344124625709537,0.4477821669195106,0.3090118506658512,101
41,1169,1231,0.4870833333333333,1167,0.48625,2,0.0008333333333333,0,0.0,2,0.0008333333333333,7,395,395,179,207,10,182,168,26,0,1.349398353660344,0.8715919067890371,0.5574058072687709,0.6702690051363247,0.4421361953844639,0.4559577163296026,0.3160701333748023,101
42,1176,1224,0.49,1174,0.4891666666666667,2,0.0008333333333333,0,0.0,2,0.0008333333333333,7,395,395,179,212,10,184,168,26,0,1.3575171215011477,0.9067736778339665,0.5713204629739447,0.6880509447076839,0.4514546110459584,0.4664437432204463,0.3249207574780995,101
43,1188,1212,0.495,1186,0.4941666666666666,2,0.0008333333333333,0,0.0,2,0.0008333333333333,7,399,399,180,216,10,185,170,26,0,1.3532315165596027,0.9354084685349072,0.5808682617923014,0.700778072043466,0.4582972449465391,0.4732053032558765,0.331230463393215,101
44,1196,1204,0.4983333333333333,1194,0.4975,2,0.0008333333333333,0,0.0,2,0.0008333333333333,7,401,401,180,219,10,186,172,26,0,1.349254865069536,0.9650557981250212,0.5902846438821203,0.7139414777451398,0.4655030023899362,0.480654898219413,0.3376294116956883,101
